cdate,cp
1950-01-03,16.660
1950-01-04,16.850
1950-01-05,16.930
1950-01-06,16.980
1950-01-09,17.080
1950-01-10,17.030
1950-01-11,17.090
1950-01-12,16.760
1950-01-13,16.670
1950-01-16,16.720
1950-01-17,16.860
1950-01-18,16.850
1950-01-19,16.870
1950-01-20,16.900
1950-01-23,16.920
1950-01-24,16.860
1950-01-25,16.740
1950-01-26,16.730
1950-01-27,16.820
1950-01-30,17.020
1950-01-31,17.050
1950-02-01,17.050
1950-02-02,17.230
1950-02-03,17.290
1950-02-06,17.320
1950-02-07,17.230
1950-02-08,17.210
1950-02-09,17.280
1950-02-10,17.240
1950-02-14,17.060
1950-02-15,17.060
1950-02-16,16.990
1950-02-17,17.150
1950-02-20,17.200
1950-02-21,17.170
1950-02-23,17.210
1950-02-24,17.280
1950-02-27,17.280
1950-02-28,17.220
1950-03-01,17.240
1950-03-02,17.230
1950-03-03,17.290
1950-03-06,17.320
1950-03-07,17.200
1950-03-08,17.190
1950-03-09,17.070
1950-03-10,17.090
1950-03-13,17.120
1950-03-14,17.250
1950-03-15,17.450
1950-03-16,17.490
1950-03-17,17.450
1950-03-20,17.440
1950-03-21,17.450
1950-03-22,17.550
1950-03-23,17.560
1950-03-24,17.560
1950-03-27,17.460
1950-03-28,17.530
1950-03-29,17.440
1950-03-30,17.300
1950-03-31,17.290
1950-04-03,17.530
1950-04-04,17.550
1950-04-05,17.630
1950-04-06,17.780
1950-04-10,17.850
1950-04-11,17.750
1950-04-12,17.940
1950-04-13,17.980
1950-04-14,17.960
1950-04-17,17.880
1950-04-18,18.030
1950-04-19,18.050
1950-04-20,17.930
1950-04-21,17.960
1950-04-24,17.830
1950-04-25,17.830
1950-04-26,17.760
1950-04-27,17.860
1950-04-28,17.960
1950-05-01,18.220
1950-05-02,18.110
1950-05-03,18.270
1950-05-04,18.120
1950-05-05,18.220
1950-05-08,18.270
1950-05-09,18.270
1950-05-10,18.290
1950-05-11,18.290
1950-05-12,18.180
1950-05-15,18.260
1950-05-16,18.440
1950-05-17,18.520
1950-05-18,18.560
1950-05-19,18.680
1950-05-22,18.600
1950-05-23,18.710
1950-05-24,18.690
1950-05-25,18.690
1950-05-26,18.670
1950-05-29,18.720
1950-05-31,18.780
1950-06-01,18.770
1950-06-02,18.790
1950-06-05,18.600
1950-06-06,18.880
1950-06-07,18.930
1950-06-08,19.140
1950-06-09,19.260
1950-06-12,19.400
1950-06-13,19.250
1950-06-14,18.980
1950-06-15,18.930
1950-06-16,18.970
1950-06-19,18.920
1950-06-20,18.830
1950-06-21,19.000
1950-06-22,19.160
1950-06-23,19.140
1950-06-26,18.110
1950-06-27,17.910
1950-06-28,18.110
1950-06-29,17.440
1950-06-30,17.690
1950-07-03,17.640
1950-07-05,17.810
1950-07-06,17.910
1950-07-07,17.670
1950-07-10,17.590
1950-07-11,17.320
1950-07-12,16.870
1950-07-13,16.690
1950-07-14,16.870
1950-07-17,16.680
1950-07-18,17.060
1950-07-19,17.360
1950-07-20,17.610
1950-07-21,17.590
1950-07-24,17.480
1950-07-25,17.230
1950-07-26,17.270
1950-07-27,17.500
1950-07-28,17.690
1950-07-31,17.840
