cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8,pctlag16,actual_dir,prob_lr,pdir_lr,eff1d_lr,recent_eff_lr,accuracy_lr,pdir_nb,eff1d_nb,recent_eff_nb,accuracy_nb
1981-01-02,136.340,1.196,0.427,0.746,-0.168,1.975,4.491,1.000,0.518,1,1.196,0.000,True Positive,1,1.196,0.000,True Positive
1981-01-05,137.970,0.109,1.196,1.628,2.177,1.613,7.571,1.000,0.632,1,0.109,0.000,True Positive,1,0.109,0.000,True Positive
1981-01-06,138.120,-2.201,0.109,1.306,2.062,2.084,8.448,-1.000,0.475,-1,2.201,0.000,True Negative,1,-2.201,0.000,False Positive
1981-01-07,135.080,-1.495,-2.201,-2.095,-0.501,-0.589,4.527,-1.000,0.296,-1,1.495,0.000,True Negative,-1,1.495,0.000,True Negative
1981-01-08,133.060,0.316,-1.495,-3.663,-2.406,-2.570,2.789,1.000,0.483,-1,-0.316,0.000,False Negative,-1,-0.316,0.000,False Negative
1981-01-09,133.480,0.030,0.316,-1.184,-3.254,-1.148,2.205,1.000,0.583,1,0.030,0.704,True Positive,-1,-0.030,-0.189,False Negative
1981-01-12,133.520,-0.172,0.030,0.346,-3.330,-1.337,0.474,-1.000,0.415,-1,0.172,0.716,True Negative,-1,0.172,-0.176,True Negative
1981-01-13,133.290,0.135,-0.172,-0.142,-1.325,-1.819,0.218,1.000,0.455,-1,-0.135,0.249,False Negative,-1,-0.135,0.237,False Negative
1981-01-14,133.470,0.562,0.135,-0.037,0.308,-2.105,-0.172,1.000,0.530,1,0.562,0.063,True Positive,-1,-0.562,-0.174,False Negative
1981-01-15,134.220,0.410,0.562,0.698,0.554,-2.718,-1.149,1.000,0.550,1,0.410,0.208,True Positive,1,0.410,-0.029,True Positive
1981-01-16,134.770,-0.297,0.410,0.974,0.936,-2.425,-0.392,-1.000,0.512,1,-0.297,0.142,False Positive,1,-0.297,-0.082,False Positive
1981-01-19,134.370,-2.024,-0.297,0.112,0.810,-0.526,-1.111,-1.000,0.451,-1,2.024,0.513,True Negative,-1,2.024,0.288,True Negative
1981-01-20,131.650,-0.220,-2.024,-2.315,-1.364,-1.060,-3.603,-1.000,0.304,-1,0.220,0.584,True Negative,-1,0.220,0.359,True Negative
1981-01-21,131.360,-0.837,-0.220,-2.240,-2.131,-1.588,-2.718,-1.000,0.581,1,-0.837,0.304,False Positive,-1,0.837,0.639,True Negative
1981-01-22,130.260,-0.023,-0.837,-1.056,-3.346,-2.442,-3.746,-1.000,0.366,-1,0.023,0.227,True Negative,-1,0.023,0.561,True Negative
1981-01-23,130.230,-0.299,-0.023,-0.860,-3.081,-2.296,-4.073,-1.000,0.490,-1,0.299,0.346,True Negative,-1,0.299,0.681,True Negative
1981-01-26,129.840,0.986,-0.299,-0.322,-1.375,-2.720,-4.767,1.000,0.435,-1,-0.986,-0.256,False Negative,-1,-0.986,0.079,False Negative
1981-01-27,131.120,-0.595,0.986,0.683,-0.183,-2.310,-4.965,-1.000,0.597,1,-0.595,-0.419,False Positive,1,-0.595,-0.084,False Positive
1981-01-28,130.340,-0.077,-0.595,0.385,0.061,-3.287,-5.633,-1.000,0.361,-1,0.077,-0.236,True Negative,-1,0.077,-0.236,True Negative
1981-01-29,130.240,-0.530,-0.077,-0.671,0.008,-3.074,-3.583,-1.000,0.529,1,-0.530,-0.347,False Positive,-1,0.530,-0.135,True Negative
1981-01-30,129.550,-2.038,-0.530,-0.606,-0.223,-1.595,-2.638,-1.000,0.443,-1,2.038,0.001,True Negative,-1,2.038,0.213,True Negative
1981-02-02,126.910,1.221,-2.038,-2.557,-3.211,-3.388,-4.922,1.000,0.287,-1,-1.221,-0.046,False Negative,-1,-1.221,0.166,False Negative
1981-02-03,128.460,0.101,1.221,-0.841,-1.442,-1.382,-3.790,1.000,0.716,1,0.101,0.093,True Positive,1,0.101,0.305,True Positive
1981-02-04,128.590,0.809,0.101,1.324,-1.267,-1.259,-3.526,1.000,0.384,-1,-0.809,-0.084,False Negative,-1,-0.809,0.128,False Negative
1981-02-05,129.630,0.748,0.809,0.911,0.062,-0.162,-2.877,1.000,0.558,1,0.748,0.171,True Positive,1,0.748,0.171,True Positive
1981-02-06,130.600,-1.018,0.748,1.563,2.908,-0.397,-2.697,-1.000,0.554,1,-1.018,-0.440,False Positive,1,-1.018,-0.440,False Positive
1981-02-09,129.270,-0.023,-1.018,-0.278,0.631,-0.821,-4.081,-1.000,0.351,-1,0.023,-0.191,True Negative,-1,0.023,-0.191,True Negative
1981-02-10,129.240,-0.774,-0.023,-1.041,0.505,-0.768,-3.818,-1.000,0.571,1,-0.774,-0.366,False Positive,-1,0.774,-0.056,True Negative
1981-02-11,128.240,-0.593,-0.774,-0.797,-1.072,-1.011,-2.590,-1.000,0.400,-1,0.593,-0.086,True Negative,-1,0.593,0.224,True Negative
1981-02-12,127.480,-0.392,-0.593,-1.362,-2.389,0.449,-2.954,-1.000,0.444,-1,0.392,-0.157,True Negative,-1,0.392,0.153,True Negative
1981-02-13,126.980,0.654,-0.392,-0.983,-1.771,-1.152,-2.518,1.000,0.465,-1,-0.654,-0.084,False Negative,-1,-0.654,0.226,False Negative
1981-02-17,127.810,0.524,0.654,0.259,-1.106,-0.607,-1.858,1.000,0.562,1,0.524,0.016,True Positive,1,0.524,0.326,True Positive
1981-02-18,128.480,-1.455,0.524,1.181,0.187,-0.887,-1.047,-1.000,0.498,-1,1.455,0.462,True Negative,1,-1.455,-0.120,False Positive
1981-02-19,126.610,-0.024,-1.455,-0.939,-0.682,-3.055,-3.440,-1.000,0.312,-1,0.024,0.348,True Negative,-1,0.024,-0.234,True Negative
1981-02-20,126.580,0.608,-0.024,-1.479,-0.315,-2.081,-2.885,1.000,0.592,1,0.608,0.391,True Positive,-1,-0.608,-0.434,False Negative
1981-02-23,127.350,0.031,0.608,0.584,-0.360,-1.462,-2.219,1.000,0.544,1,0.031,0.528,True Positive,1,0.031,-0.297,True Positive
1981-02-24,127.390,0.887,0.031,0.640,-0.848,-0.663,-1.667,1.000,0.434,-1,-0.887,0.246,False Negative,-1,-0.887,-0.579,False Negative
1981-02-25,128.520,1.229,0.887,0.919,1.509,0.816,1.269,1.000,0.607,1,1.229,0.201,True Positive,1,1.229,-0.042,True Positive
1981-02-26,130.100,0.899,1.229,2.127,2.781,2.457,1.277,1.000,0.597,1,0.899,0.376,True Positive,1,0.899,0.133,True Positive
1981-02-27,131.270,0.564,0.899,2.140,3.078,2.707,2.084,1.000,0.548,1,0.564,0.367,True Positive,1,0.564,0.367,True Positive
1981-03-02,132.010,-1.098,0.564,1.468,3.627,2.748,1.836,-1.000,0.552,1,-1.098,0.141,False Positive,1,-1.098,0.141,False Positive
1981-03-03,130.560,0.230,-1.098,-0.541,1.587,3.120,-0.031,1.000,0.379,-1,-0.230,0.273,False Negative,-1,-0.230,0.273,False Negative
1981-03-04,130.860,-0.711,0.230,-0.871,0.584,3.381,1.230,-1.000,0.609,1,-0.711,-0.115,False Positive,1,-0.711,-0.115,False Positive
1981-03-05,129.930,-0.062,-0.711,-0.483,-1.021,2.026,0.534,-1.000,0.393,-1,0.062,-0.283,True Negative,-1,0.062,-0.283,True Negative
1981-03-06,129.850,0.978,-0.062,-0.772,-1.636,1.931,1.255,1.000,0.513,1,0.978,-0.200,True Positive,-1,-0.978,-0.591,False Negative
1981-03-09,131.120,-0.503,0.978,0.916,0.429,2.023,2.855,-1.000,0.604,1,-0.503,-0.081,False Positive,1,-0.503,-0.472,False Positive
