cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8,pctlag16
1950-01-03,16.660,1.140,0.000,0.000,0.000,0.000,0.000
1950-01-04,16.850,0.475,1.140,1.140,1.140,1.140,1.140
1950-01-05,16.930,0.295,0.475,1.621,1.621,1.621,1.621
1950-01-06,16.980,0.589,0.295,0.772,1.921,1.921,1.921
1950-01-09,17.080,-0.293,0.589,0.886,2.521,2.521,2.521
1950-01-10,17.030,0.352,-0.293,0.294,1.068,2.221,2.221
1950-01-11,17.090,-1.931,0.352,0.059,0.945,2.581,2.581
1950-01-12,16.760,-0.537,-1.931,-1.585,-1.296,0.600,0.600
1950-01-13,16.670,0.300,-0.537,-2.458,-2.400,0.060,0.060
1950-01-16,16.720,0.837,0.300,-0.239,-1.820,-0.772,0.360
1950-01-17,16.860,-0.059,0.837,1.140,-1.346,-0.413,1.200
1950-01-18,16.850,0.119,-0.059,0.778,0.537,-0.766,1.140
1950-01-19,16.870,0.178,0.119,0.059,1.200,-1.230,1.261
1950-01-20,16.900,0.118,0.178,0.297,1.077,-0.763,1.441
1950-01-23,16.920,-0.355,0.118,0.296,0.356,-0.995,1.561
1950-01-24,16.860,-0.712,-0.355,-0.237,0.059,0.597,1.200
1950-01-25,16.740,-0.060,-0.712,-1.064,-0.771,0.420,0.480
1950-01-26,16.730,0.538,-0.060,-0.771,-1.006,0.060,-0.712
1950-01-27,16.820,1.189,0.538,0.478,-0.591,-0.237,-0.650
1950-01-30,17.020,0.176,1.189,1.733,0.949,1.009,0.236
1950-01-31,17.050,0.000,0.176,1.367,1.852,1.067,-0.176
1950-02-01,17.050,1.056,0.000,0.176,1.913,0.888,0.117
1950-02-02,17.230,0.348,1.056,1.056,2.438,1.832,0.819
1950-02-03,17.290,0.174,0.348,1.408,1.586,2.550,3.162
1950-02-06,17.320,-0.520,0.174,0.522,1.584,3.465,3.899
1950-02-07,17.230,-0.116,-0.520,-0.347,1.056,2.989,3.050
1950-02-08,17.210,0.407,-0.116,-0.635,-0.116,2.319,2.076
1950-02-09,17.280,-0.231,0.407,0.290,-0.058,1.528,2.552
1950-02-10,17.240,-1.044,-0.231,0.174,-0.462,1.114,2.193
1950-02-14,17.060,0.000,-1.044,-1.273,-0.987,0.059,0.947
1950-02-15,17.060,-0.410,0.000,-1.044,-0.872,-0.987,0.827
1950-02-16,16.990,0.942,-0.410,-0.410,-1.678,-1.735,0.771
1950-02-17,17.150,0.292,0.942,0.528,-0.522,-0.982,2.449
1950-02-20,17.200,-0.174,0.292,1.236,0.821,-0.174,2.809
1950-02-21,17.170,0.233,-0.174,0.117,0.645,-0.232,2.081
1950-02-23,17.210,0.407,0.233,0.058,1.295,-0.405,1.116
1950-02-24,17.280,0.000,0.407,0.641,0.758,0.232,1.349
1950-02-27,17.280,-0.347,0.000,0.407,0.465,1.290,1.349
1950-02-28,17.220,0.116,-0.347,-0.347,0.291,0.938,-0.058
1950-03-01,17.240,-0.058,0.116,-0.231,0.174,1.471,-0.289
1950-03-02,17.230,0.348,-0.058,0.058,-0.289,0.466,-0.520
1950-03-03,17.290,0.174,0.348,0.290,0.058,0.523,0.348
1950-03-06,17.320,-0.693,0.174,0.522,0.581,0.874,0.639
1950-03-07,17.200,-0.058,-0.693,-0.521,-0.232,-0.058,-0.463
1950-03-08,17.190,-0.698,-0.058,-0.751,-0.232,-0.521,-0.290
1950-03-09,17.070,0.117,-0.698,-0.756,-1.272,-1.215,0.059
1950-03-10,17.090,0.176,0.117,-0.582,-1.328,-0.755,0.176
1950-03-13,17.120,0.759,0.176,0.293,-0.465,-0.696,0.765
1950-03-14,17.250,1.159,0.759,0.936,0.349,0.116,0.583
1950-03-15,17.450,0.229,1.159,1.928,2.226,0.925,1.453
1950-03-16,17.490,-0.229,0.229,1.391,2.341,0.982,1.864
1950-03-17,17.450,-0.057,-0.229,0.000,1.928,1.453,1.395
1950-03-20,17.440,0.057,-0.057,-0.286,1.101,1.454,0.926
1950-03-21,17.450,0.573,0.057,0.000,0.000,2.226,0.984
1950-03-22,17.550,0.057,0.573,0.631,0.343,2.692,1.916
1950-03-23,17.560,0.000,0.057,0.630,0.630,2.570,1.856
1950-03-24,17.560,-0.569,0.000,0.057,0.688,1.797,1.915
1950-03-27,17.460,0.401,-0.569,-0.569,0.057,0.057,0.983
1950-03-28,17.530,-0.513,0.401,-0.171,-0.114,0.229,1.212
1950-03-29,17.440,-0.803,-0.513,-0.115,-0.683,-0.057,1.395
1950-03-30,17.300,-0.058,-0.803,-1.312,-1.481,-0.803,0.640
1950-03-31,17.290,1.388,-0.058,-0.860,-0.974,-0.917,1.289
1950-04-03,17.530,0.114,1.388,1.329,0.000,-0.114,2.575
1950-04-04,17.550,0.456,0.114,1.504,0.631,-0.057,2.512
1950-04-05,17.630,0.851,0.456,0.570,1.908,0.399,2.203
1950-04-06,17.780,0.394,0.851,1.311,2.834,1.833,1.891
1950-04-10,17.850,-0.560,0.394,1.248,1.825,1.825,2.058
1950-04-11,17.750,1.070,-0.560,-0.169,1.140,1.778,1.719
1950-04-12,17.940,0.223,1.070,0.504,1.758,3.699,2.867
1950-04-13,17.980,-0.111,0.223,1.296,1.125,3.991,3.037
1950-04-14,17.960,-0.445,-0.111,0.111,0.616,2.453,2.336
1950-04-17,17.880,0.839,-0.445,-0.556,0.732,1.880,1.822
1950-04-18,18.030,0.111,0.839,0.390,0.502,2.269,2.677
1950-04-19,18.050,-0.665,0.111,0.951,0.389,1.519,3.379
1950-04-20,17.930,0.167,-0.665,-0.555,-0.167,0.448,2.282
1950-04-21,17.960,-0.724,0.167,-0.499,0.447,1.183,2.982
1950-04-24,17.830,0.000,-0.724,-0.558,-1.109,-0.613,3.064
1950-04-25,17.830,-0.393,0.000,-0.724,-1.219,-0.834,3.123
1950-04-26,17.760,0.563,-0.393,-0.393,-0.948,-1.114,1.312
1950-04-27,17.860,0.560,0.563,0.168,-0.557,-0.112,1.766
1950-04-28,17.960,1.448,0.560,1.126,0.729,-0.388,1.872
1950-05-01,18.220,-0.604,1.448,2.016,2.187,0.942,2.475
1950-05-02,18.110,0.883,-0.604,0.835,1.971,1.004,1.457
1950-05-03,18.270,-0.821,0.883,0.274,2.296,1.726,2.930
1950-05-04,18.120,0.552,-0.821,0.055,0.891,1.626,1.003
1950-05-05,18.220,0.274,0.552,-0.274,0.000,2.187,1.335
